,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
103,1868404,001868404-01,137306325,FP,1,1,1,6.126019629,0
104,1870849,001870849-01,137346870,FP,1,1,2,0.5312268257,0
105,1870849,001870849-02,137346870,FP,1,2,2,0.5312210536,0
106,1871056,001871056-01,137347078,PC,0,1,2,40.8063313,0
107,1871056,001871056-02,137347078,PC,0,2,2,140.1053581,0
108,1872948,001872948-01,137638072,FP,1,1,3,1.38647619,0
109,1872948,001872948-02,137638072,FP,1,2,3,405.2730073,0
110,1872948,001872948-03,137638072,FP,1,3,3,30.48794424,0
111,1873513,001873513-01,137683938,PC,0,1,1,3.290352527,0
112,1873543,001873543-01,137683989,FP,1,1,4,536.6204431,0
113,1873543,001873543-02,137683989,FP,1,2,4,316.6970790000001,0
114,1873543,001873543-03,137683989,FP,1,3,4,638.1502426,0
115,1873543,001873543-04,137683989,FP,1,4,4,359.4743021000001,0
116,1995431,001995431-01,120762046,FP,1,1,3,446.7620167,0
117,1995431,001995431-03,120762046,FP,1,3,3,3.82371442,0
118,1996399,001996399-01,120890307,FP,1,1,1,358.6798683,0
119,2010152,002010152-01,122373874,FP,1,1,1,317.7367234,0
120,2010414,002010414-01,122507920,FP,1,1,2,2.555614445,0
121,2010414,002010414-02,122507920,FP,1,2,2,2.555389975,0
122,2010607,002010607-01,122507978,FP,0,1,1,18.633322600000003,1
123,2011424,002011424-01,122516117,FP,1,1,2,0.5211860449,0
124,2011424,002011424-02,122516117,FP,1,2,2,0.5211789006,0
